id,school_name,program_name,faculty,required_subjects,minimum_points,duration,description,career_category,created_at,min_o_level_passes,min_a_level_passes,program_type,required_o_level_subjects,campus,min_required_subjects
114,Midlands State University,BA English & Communication,Arts,"[""English Literature"",""History""]",6,3 years,"Media writing, public speaking and corporate communication",Media & Communication,1773752031,5,2,degree,"[""English Language""]",Gweru,
115,Lupane State University,BSc Animal Science,Agriculture,"[""Biology"",""Chemistry""]",7,4 years,"Livestock production, breeding and veterinary health",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Lupane,
116,Lupane State University,BSc Forest Resources,Agriculture,"[""Biology"",""Geography""]",6,4 years,"Timber production, conservation and agroforestry",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Lupane,
117,Lupane State University,BCom Supply Chain Management,Business,"[""Mathematics"",""Accounts""]",7,4 years,"Logistics, procurement and transport management",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Lupane,
118,Zimbabwe Open University,BSc Education Management,Education,"[""English Literature"",""History""]",0,4 years,Distance learning: leadership in educational institutions,Education,1773752031,5,2,degree,"[""English Language""]",All Provinces,
119,Zimbabwe Open University,BCom Human Resources Management,Business,"[""Mathematics"",""Accounts""]",0,4 years,"Workforce planning, labor law and organizational behavior",Business & Finance,1773752031,5,2,degree,"[""English Language""]",All Provinces,
120,Zimbabwe Open University,Diploma in Library & Information Science,Humanities,[],0,2 years,"Records management, cataloguing and digital archiving",Social Sciences,1773752031,5,0,diploma,"[""English Language""]",All Provinces,
121,Masvingo Teachers' College,Diploma in Primary Education,Education,[],0,3 years,Primary school teaching (ECD to grade 7),Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Masvingo,
122,Masvingo Teachers' College,Diploma in Early Childhood Development,Education,[],0,3 years,ECD teaching methods and childhood psychology,Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Masvingo,
123,Mutare Teachers' College,Diploma in Secondary Education (Science),Education,[],0,3 years,Teaching sciences at secondary school level,Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Mutare,
124,Mutare Teachers' College,Diploma in Secondary Education (Arts),Education,[],0,3 years,Teaching humanities at secondary school level,Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Mutare,
125,Bulawayo Polytechnic,National Diploma in Electrical Engineering,Engineering,[],0,3 years,"Industrial electrical systems, motors and PLCs",Engineering,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
126,Bulawayo Polytechnic,National Diploma in Mechanical Engineering,Engineering,[],0,3 years,"Thermodynamics, machine design and manufacturing",Engineering,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
127,Bulawayo Polytechnic,National Diploma in Civil Engineering,Engineering,[],0,3 years,"Construction technology, surveying and materials",Engineering,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
128,Bulawayo Polytechnic,National Diploma in Marketing,Business,[],0,3 years,"Market research, branding and advertising",Business & Finance,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Bulawayo,
129,Bulawayo Polytechnic,National Diploma in Human Resources,Business,[],0,3 years,"Recruitment, training and employee relations",Business & Finance,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Bulawayo,
130,Harare Polytechnic,National Diploma in Computer Engineering,Technology,[],0,3 years,"Hardware, embedded systems and robotics",Technology,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Harare,
131,Harare Polytechnic,National Diploma in Graphic Design,Arts,[],0,3 years,"Visual communication, typography and digital media",Media & Communication,1773752031,5,0,diploma,"[""English Language""]",Harare,
132,Harare Polytechnic,National Diploma in Journalism,Arts,[],0,3 years,"News writing, ethics and broadcasting",Media & Communication,1773752031,5,0,diploma,"[""English Language""]",Harare,
133,Kwekwe Polytechnic,National Diploma in Chemical Engineering,Engineering,[],0,3 years,"Industrial chemistry, process control and safety",Engineering,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Kwekwe,
134,Kwekwe Polytechnic,National Diploma in Metallurgy,Engineering,[],0,3 years,"Mineral processing, extraction and refining",Engineering,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Kwekwe,
135,Masvingo Polytechnic,National Diploma in Hospitality Management,Business,[],0,3 years,"Hotel operations, catering and tourism",Business & Finance,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Masvingo,
136,Masvingo Polytechnic,National Diploma in Fashion Design,Arts,[],0,3 years,"Garment construction, textiles and pattern making",Media & Communication,1773752031,5,0,diploma,"[""English Language""]",Masvingo,
137,Catholic University of Zimbabwe,BSc Community Health,Medicine,"[""Biology"",""Chemistry""]",8,4 years,"Public health, epidemiology and health promotion",Healthcare,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
138,Catholic University of Zimbabwe,BSc Social Work,Social Sciences,"[""English Literature"",""History""]",6,4 years,"Child protection, counseling and community development",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Harare,
139,Womens University in Africa,BSc Gender Studies,Social Sciences,"[""English Literature"",""History""]",6,4 years,"Gender equality, policy analysis and advocacy",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Harare,
140,Womens University in Africa,BSc Development Studies,Social Sciences,"[""Geography"",""History""]",6,4 years,"Sustainable development, NGOs and project management",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Harare,
141,Reformed Church University,BCom Retail Management,Business,"[""Mathematics"",""Accounts""]",6,4 years,"Store operations, merchandising and customer service",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Masvingo,
142,Reformed Church University,BA Theology,Humanities,"[""English Literature"",""History""]",5,4 years,"Religious studies, pastoral care and church leadership",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Masvingo,
143,Morgenster Teachers' College,Diploma in Primary Education,Education,[],0,3 years,Primary teacher training with focus on holistic education,Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Masvingo,
144,Morgenster Teachers' College,Diploma in Special Needs Education,Education,[],0,3 years,"Inclusive education, disability support and remedial teaching",Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Masvingo,
145,Mkoba Teachers' College,Diploma in Secondary Education (Commerce),Education,[],0,3 years,"Teaching accounting, business studies and commerce",Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Gweru,
146,Mkoba Teachers' College,Diploma in Secondary Education (Geography),Education,[],0,3 years,"Teaching geography, mapwork and environmental science",Education,1773752031,5,0,diploma,"[""English Language"",""Geography""]",Gweru,
147,Zimbabwe Ezekiel Guti University,BSc Accounting,Business,"[""Mathematics"",""Accounts""]",7,4 years,"Financial accounting, auditing and taxation",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Harare,
148,Zimbabwe Ezekiel Guti University,BSc Entrepreneurship,Business,"[""Mathematics"",""Accounts""]",6,4 years,"Business startup, innovation and small business management",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Harare,
149,Bindura University of Science Education,BSc Food Science,Science,"[""Biology"",""Chemistry""]",7,4 years,"Food processing, safety and quality control",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bindura,
150,Bindura University of Science Education,BEd Early Childhood Education,Education,"[""English Literature"",""History""]",6,4 years,"ECD curriculum, child psychology and play-based learning",Education,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Bindura,
151,Chinhoyi University of Technology,BSc Risk Management,Business,"[""Mathematics"",""Accounts""]",7,4 years,"Insurance, corporate risk and financial security",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Chinhoyi,
152,Chinhoyi University of Technology,BSc Forensic Science,Science,"[""Biology"",""Chemistry""]",8,4 years,"Crime scene investigation, DNA analysis and toxicology",Healthcare,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Chinhoyi,
153,National University of Science & Technology (NUST),BEng Mining Engineering,Engineering,"[""Mathematics"",""Physics""]",12,5 years,"Mineral extraction, mine safety and geomechanics",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
154,National University of Science & Technology (NUST),BSc Actuarial Science,Business,"[""Mathematics"",""Accounts""]",13,4 years,"Risk assessment, insurance mathematics and financial modeling",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Bulawayo,
155,Africa University,BSc Agriculture,Agriculture,"[""Biology"",""Chemistry""]",7,4 years,"Sustainable farming, agribusiness and crop science",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Mutare,
156,Africa University,Master of Business Administration,Business,"[""Management"",""Economics""]",0,2 years,Postgraduate business leadership and strategy,Business & Finance,1773752031,0,0,postgraduate,"[""Any relevant degree""]",Mutare,
157,Great Zimbabwe University,BSc Sports Science,Science,"[""Biology"",""Physical Education""]",6,4 years,"Coaching, exercise physiology and sports management",Healthcare,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Masvingo,
158,Great Zimbabwe University,BCom Human Resources,Business,"[""Mathematics"",""Accounts""]",6,4 years,"Employee relations, talent management and labor law",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Masvingo,
159,TelOne Centre for Learning,Certificate in ICT,Technology,[],0,1 year,"Foundation IT skills, hardware and basic networking",Technology,1773820276,5,0,certificate,"[""English Language"",""Mathematics""]",Harare,
160,TelOne Centre for Learning,Certificate in Cybersecurity Basics,Technology,[],0,1 year,"Introduction to cyber threats, security tools and ethics",Technology,1773820276,5,0,certificate,"[""English Language"",""Mathematics""]",Bulawayo,
161,Harare Institute of Technology,BSc Business Information Systems,Business,"[""Mathematics"",""Accounts""]",9,4 years,"ERP systems, IT project management and business analysis",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Harare,
162,Harare Institute of Technology,BEng Chemical Engineering,Engineering,"[""Mathematics"",""Physics"",""Chemistry""]",12,5 years,"Process design, thermodynamics and plant operations",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
163,Midlands State University,BSc Nursing,Medicine,"[""Biology"",""Chemistry""]",8,4 years,"Clinical nursing, patient care and hospital management",Healthcare,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Gweru,
164,Midlands State University,BSc Criminology & Security Studies,Social Sciences,"[""History"",""English Literature""]",6,4 years,"Crime prevention, forensic psychology and private security",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Gweru,
165,Lupane State University,BSc Wildlife Management,Agriculture,"[""Biology"",""Geography""]",6,4 years,"Game ranching, conservation and ecotourism",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Lupane,
166,Lupane State University,BSc Sociology,Social Sciences,"[""English Literature"",""History""]",5,4 years,"Social inequality, family structures and community dynamics",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Lupane,
167,Zimbabwe Open University,Diploma in Project Management,Business,[],0,2 years,"Project planning, monitoring and evaluation",Business & Finance,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",All Provinces,
168,Zimbabwe Open University,Diploma in Youth Development,Social Sciences,[],0,2 years,"Youth empowerment, policy and community programs",Social Sciences,1773752031,5,0,diploma,"[""English Language""]",All Provinces,
169,Bulawayo Polytechnic,National Diploma in Quantity Surveying,Engineering,[],0,3 years,"Cost estimation, contract management and building economics",Engineering,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
170,Bulawayo Polytechnic,National Diploma in Library Studies,Humanities,[],0,3 years,"Cataloguing, digital libraries and information retrieval",Social Sciences,1773752031,5,0,diploma,"[""English Language""]",Bulawayo,
171,Harare Polytechnic,National Diploma in Architectural Technology,Engineering,[],0,3 years,"Building design, CAD software and construction drawing",Engineering,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Harare,
172,Harare Polytechnic,National Diploma in Travel & Tourism,Business,[],0,3 years,"Tour operations, ticketing and destination marketing",Business & Finance,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Harare,
173,Kwekwe Polytechnic,National Diploma in Geoinformation Technology,Technology,[],0,3 years,"GIS mapping, remote sensing and spatial analysis",Technology,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Geography""]",Kwekwe,
174,Kwekwe Polytechnic,National Diploma in Food Technology,Science,[],0,3 years,"Food processing, preservation and quality assurance",Agriculture,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Kwekwe,
175,Masvingo Polytechnic,National Diploma in Secretarial Studies,Business,[],0,3 years,"Office administration, shorthand and records management",Business & Finance,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Masvingo,
176,Masvingo Polytechnic,National Diploma in Clothing & Textile Technology,Arts,[],0,3 years,"Garment manufacturing, textile science and fashion design",Media & Communication,1773752031,5,0,diploma,"[""English Language""]",Masvingo,
177,Catholic University of Zimbabwe,BSc Peace & Governance,Social Sciences,"[""History"",""English Literature""]",6,4 years,"Conflict resolution, human rights and democracy",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Harare,
178,Catholic University of Zimbabwe,BSc Environmental Health,Medicine,"[""Biology"",""Chemistry""]",8,4 years,"Sanitation, pollution control and occupational health",Healthcare,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
179,Womens University in Africa,BSc Information Technology,Technology,"[""Mathematics""]",7,4 years,"Women-focused IT skills, coding and systems analysis",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Harare,
180,Womens University in Africa,BSc Counseling Psychology,Social Sciences,"[""Biology"",""English Literature""]",6,4 years,"Therapeutic counseling, mental health and trauma support",Healthcare,1773752031,5,2,degree,"[""English Language""]",Harare,
181,Reformed Church University,BCom Project Management,Business,"[""Mathematics"",""Accounts""]",6,4 years,"Project lifecycle, budgeting and stakeholder management",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Masvingo,
182,Reformed Church University,BA Ethics & Development,Humanities,"[""English Literature"",""History""]",5,4 years,"Moral philosophy, community development and leadership",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Masvingo,
183,Mutare Teachers' College,Diploma in Physical Education,Education,[],0,3 years,"Sports coaching, health education and recreation",Education,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",Mutare,
184,Mutare Teachers' College,Diploma in Music Education,Education,[],0,3 years,"Teaching music theory, performance and curriculum integration",Education,1773752031,5,0,diploma,"[""English Language""]",Mutare,
185,Bindura University of Science Education,BSc Physics,Science,"[""Mathematics"",""Physics""]",9,4 years,"Theoretical physics, electronics and material science",Science,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bindura,
186,Bindura University of Science Education,BSc Chemistry,Science,"[""Chemistry"",""Physics""]",9,4 years,"Analytical chemistry, organic synthesis and lab management",Science,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bindura,
187,Chinhoyi University of Technology,BSc Artificial Intelligence,Technology,"[""Mathematics"",""Physics""]",10,4 years,"Machine learning, NLP and AI ethics",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Chinhoyi,
188,Chinhoyi University of Technology,BEng Agricultural Engineering,Engineering,"[""Mathematics"",""Physics""]",8,4 years,"Farm machinery, irrigation systems and post-harvest tech",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Chinhoyi,
189,National University of Science & Technology (NUST),BSc Medical Laboratory Science,Medicine,"[""Biology"",""Chemistry""]",11,4 years,"Clinical pathology, hematology and diagnostic testing",Healthcare,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
190,National University of Science & Technology (NUST),BSc Urban Planning,Social Sciences,"[""Geography"",""Mathematics""]",8,4 years,"Land use, zoning regulations and sustainable cities",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Geography""]",Bulawayo,
191,Africa University,BSc Public Health,Medicine,"[""Biology"",""Chemistry""]",8,4 years,"Epidemiology, health policy and community intervention",Healthcare,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Mutare,
192,Africa University,BSc Peace & Security,Social Sciences,"[""History"",""English Literature""]",7,4 years,"International relations, conflict early warning and peacekeeping",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Mutare,
193,Great Zimbabwe University,BSc Heritage Studies,Humanities,"[""History"",""Geography""]",6,4 years,"Cultural heritage management, museums and oral traditions",Social Sciences,1773752031,5,2,degree,"[""English Language"",""History""]",Masvingo,
194,Great Zimbabwe University,BSc Library & Information Science,Humanities,"[""English Literature"",""History""]",5,4 years,"Digital archiving, knowledge management and librarianship",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Masvingo,
195,TelOne Centre for Learning,Advanced Diploma in Network Security,Technology,[],0,2 years,"Firewalls, intrusion detection and ethical hacking",Technology,1773820276,5,0,diploma,"[""Diploma in IT or equivalent""]",Harare,
196,TelOne Centre for Learning,Advanced Diploma in Software Development,Technology,[],0,2 years,"Full-stack development, agile methods and DevOps",Technology,1773820276,5,0,diploma,"[""Diploma in IT or equivalent""]",Harare,
197,Harare Institute of Technology,BSc Data Science,Technology,"[""Mathematics"",""Physics""]",10,4 years,"Big data analytics, statistical modeling and visualization",Technology,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
198,Harare Institute of Technology,BSc Renewable Energy Engineering,Engineering,"[""Mathematics"",""Physics""]",9,4 years,"Solar, wind and bioenergy systems",Engineering,1773752031,5,2,degree,"[""English Language"",""Mathematics"",""Science""]",Harare,
199,Midlands State University,BSc Hotel Management,Business,"[""English Literature"",""Geography""]",6,4 years,"Front office, food & beverage and events management",Business & Finance,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Gweru,
200,Midlands State University,BA Film & Theatre Arts,Arts,"[""English Literature"",""History""]",6,4 years,"Directing, scriptwriting and stage production",Media & Communication,1773752031,5,2,degree,"[""English Language""]",Gweru,
201,Lupane State University,BSc Agribusiness,Agriculture,"[""Mathematics"",""Accounts""]",6,4 years,"Farm management, agricultural marketing and value chains",Agriculture,1773752031,5,2,degree,"[""English Language"",""Mathematics""]",Lupane,
202,Lupane State University,BA Language & Communication,Arts,"[""English Literature"",""History""]",5,4 years,"Linguistics, translation and interpersonal communication",Social Sciences,1773752031,5,2,degree,"[""English Language""]",Lupane,
203,Zimbabwe Open University,Diploma in Monitoring & Evaluation,Business,[],0,2 years,"M&E frameworks, data collection and impact assessment",Business & Finance,1773752031,5,0,diploma,"[""English Language"",""Mathematics""]",All Provinces,
204,Zimbabwe Open University,Certificate in Business Management,Business,[],0,1 year,"Entrepreneurship, small business operations and customer care",Business & Finance,1773752031,5,0,certificate,"[""English Language""]",All Provinces,
205,Bulawayo Polytechnic,National Diploma in Automation Engineering,Engineering,[],0,3 years,"PLC programming, robotics and industrial control",Engineering,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
206,Bulawayo Polytechnic,National Diploma in Pharmacy Technology,Medicine,[],0,3 years,"Dispensing, drug safety and pharmaceutical calculations",Healthcare,1773752031,5,0,diploma,"[""English Language"",""Mathematics"",""Science""]",Bulawayo,
